,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
0,North America,"12,63,53,091",494,"16,30,731",4,"12,21,71,699","1,005","25,50,661","6,310",,,
1,Asia,"21,70,21,377","19,993","15,45,581",8,"20,07,67,110","5,003","1,47,08,686","15,651",,,
2,Europe,"24,90,93,309",,"20,56,057",,"24,50,04,734","11,320","20,32,518","6,329",,,
3,South America,"6,86,27,123",,"13,54,933",,"6,64,54,701",300,"8,17,489","10,125",,,
4,Oceania,"1,42,26,011",,"27,464",,"1,40,60,980",,"1,37,567",89,,,
5,Africa,"1,28,21,702",,"2,58,750",,"1,20,84,758",,"4,78,194",548,,,
6,World,"68,81,43,334","20,487","68,73,531",12,"66,05,44,688","17,628","2,07,25,115","39,052","88,282",881.8,
7,USA,"10,67,90,393",,"11,62,693",,"10,47,62,026",,"8,65,674","1,144","3,18,963","3,473","1,17,90,29,641"
8,India,"4,49,78,179",,"5,31,753",,"4,44,28,417",,"18,009",N/A,"31,976",378,"92,83,45,228"
9,France,"4,00,29,701",,"1,66,862",,"3,97,71,581","7,400","91,258",869,"6,10,353","2,544","27,14,90,188"
10,Germany,"3,84,16,698",,"1,73,737",,"3,82,16,600","1,400","26,361",N/A,"4,57,976","2,071","12,23,32,384"
11,Brazil,"3,75,11,921",,"7,02,116",,"3,62,49,161",,"5,60,644",N/A,"1,74,188","3,260","6,37,76,166"
12,Japan,"3,38,03,572",,"74,694",,N/A,N/A,N/A,83,"2,69,169",595,"10,04,14,883"
13,S. Korea,"3,13,71,675","19,989","34,591",8,"3,10,49,003","5,015","2,88,081",153,"6,11,177",674,"1,58,04,065"
14,Italy,"2,58,09,208",,"1,89,904",,"2,54,93,751",,"1,25,553",108,"4,28,278","3,151","27,17,73,815"
15,UK,"2,45,69,895",,"2,23,396",,"2,43,38,590","1,714","7,909",N/A,"3,58,696","3,261","52,25,26,476"
16,Russia,"2,28,89,242",,"3,98,630",,"2,23,06,208",,"1,84,404",N/A,"1,56,984","2,734","27,34,00,000"
17,Turkey,"1,72,32,066",,"1,02,174",,N/A,N/A,N/A,,"2,01,399","1,194","16,27,43,369"
18,Spain,"1,38,45,825",,"1,20,964",,"1,36,81,014",,"43,847",231,"2,96,363","2,589","47,10,36,328"
19,Vietnam,"1,15,85,390",,"43,200",,"1,06,30,260",,"9,11,930",109,"1,17,079",437,"8,58,26,548"
20,Australia,"1,14,72,222",,"20,410",,"1,14,24,238",,"27,574",61,"4,40,075",783,"8,18,88,237"
21,Taiwan,"1,02,39,998",,"19,005",,"1,02,20,993",,0,,"4,28,656",796,"3,07,42,304"
22,Argentina,"1,00,44,957",,"1,30,472",,"99,14,485",,0,363,"2,18,320","2,836","3,57,16,069"
23,Netherlands,"86,10,372",,"22,992",,"85,87,380",,0,53,"5,00,270","1,336","2,59,84,435"
24,Iran,"76,09,922",,"1,46,165",,"73,42,490",,"1,21,267",407,"88,464","1,699","5,53,53,767"
25,Mexico,"76,00,278",494,"3,33,985",4,"68,47,177","1,005","4,19,116",N/A,"57,769","2,539","1,99,71,611"
26,Indonesia,"67,93,750",,"1,61,547",,"66,13,136",,"19,067",N/A,"24,339",579,"11,41,58,919"
27,Poland,"65,15,300",,"1,19,575",,"53,35,940",,"10,59,785",648,"1,72,637","3,168","3,86,91,599"
28,Colombia,"63,65,994",,"1,42,727",,"61,87,964",,"35,303",342,"1,23,581","2,771","3,69,51,507"
29,Austria,"60,71,012",,"22,474",,"60,40,689",,"7,849",55,"6,69,594","2,479","21,12,73,524"
30,Greece,"60,25,776",,"36,811",,"59,73,757",,"15,208",115,"5,84,083","3,568","10,22,28,365"
31,Portugal,"55,82,987",,"26,616",,"55,51,209",,"5,162",61,"5,50,559","2,625","4,60,82,209"
32,Ukraine,"55,38,357",,"1,12,210",,"54,06,404",,"19,743",,"1,28,226","2,598","3,26,03,805"
33,Chile,"52,85,864",,"64,497",,"52,20,972",,395,35,"2,74,588","3,350","4,95,07,638"
34,Malaysia,"50,79,436",,"37,028",,"50,25,566",,"16,842",29,"1,53,082","1,116","6,83,47,420"
35,Israel,"48,23,329",,"12,500",,"47,98,473",,"12,356",21,"5,17,192","1,340","4,13,73,364"
36,Belgium,"47,95,081",,"34,268",,"47,51,409",563,"9,404",43,"4,10,950","2,937","3,70,18,657"
37,DPRK,"47,72,813",,74,,"47,72,739",,0,,"1,83,636",3,
38,Thailand,"47,34,000",,"33,967",,"46,92,636",,"7,397",N/A,"67,553",485,"1,72,70,775"
39,Canada,"46,41,301",,"52,247",,"45,89,054",,0,99,"1,20,904","1,361","6,63,43,123"
40,Czechia,"46,41,172",,"42,785",,"45,96,592",,"1,795",5,"4,32,268","3,985","5,71,93,119"
